Max_Weight,Min_Weight,Mean_Fitness
17.0,17.0,292.51866488358485
17.0,17.0,289.63553934018586
17.0,17.0,286.9190637396702
17.0,17.0,284.30866516453625
17.0,17.0,282.5333767064272
17.0,17.0,280.2019338039696
17.0,17.0,278.31101637795575
17.0,17.0,276.65569017423593
17.0,17.0,275.5498791444929
17.0,17.0,273.69823666412606
17.0,17.0,272.38228915910383
17.0,17.0,270.7026594255161
17.0,17.0,268.59336882991977
17.0,17.0,266.6763232105908
17.0,17.0,264.4559295644179
17.0,17.0,262.77888924597664
17.0,17.0,260.60423967003646
17.0,17.0,258.23239805353325
17.0,17.0,254.08110065107968
17.0,17.0,252.38692723181458
17.0,17.0,248.60673845753868
17.0,17.0,245.47802566963747
17.0,17.0,243.985275899635
17.0,17.0,240.7507292034201
17.0,17.0,237.8960826910016
17.0,17.0,235.0899160419238
17.0,17.0,233.12987032855
17.0,17.0,231.74213179304834
17.0,17.0,230.05585067258673
17.0,17.0,228.66535611846297
17.0,17.0,228.31506356769435
17.0,17.0,227.1353642268391
17.0,17.0,225.9863811959898
17.0,17.0,226.02928413552044
17.0,17.0,225.20179698308084
17.0,17.0,224.1089746519374
17.0,17.0,224.1262408456343
17.0,17.0,223.38573458738554
17.0,17.0,223.07241182277562
17.0,17.0,222.60463784347772
17.0,17.0,221.71856482853605
17.0,17.0,220.9847294713033
17.0,17.0,220.17278352793093
17.0,17.0,219.53949592402572
17.0,17.0,218.275236204011
17.0,17.0,216.2454092950149
17.0,17.0,214.57610257585128
17.0,17.0,212.6899729413677
17.0,17.0,210.78886537618737
17.0,17.0,208.4455604139411
17.0,17.0,205.62946904500257
17.0,17.0,202.9097577622763
17.0,17.0,199.9744926174954
17.0,17.0,196.84166291007185
17.0,17.0,194.37087233154745
17.0,17.0,191.21924055951678
17.0,17.0,188.1276875101793
17.0,17.0,184.97537854985697
17.0,17.0,182.45948667531385
17.0,17.0,179.86925157726125
17.0,17.0,176.76314755618574
17.0,17.0,173.508967181979
17.0,17.0,171.3676053261092
17.0,17.0,168.70516410418304
17.0,17.0,164.54150284791888
17.0,17.0,162.3921947407428
17.0,17.0,160.00831047802112
17.0,17.0,157.50726610195588
17.0,17.0,154.78324324210146
17.0,17.0,152.7984437506934
17.0,17.0,150.72432569411643
17.0,17.0,149.46083044728104
17.0,17.0,148.36340602534833
17.0,17.0,147.9761015731106
17.0,17.0,147.22699046205815
17.0,17.0,146.42060804399455
17.0,17.0,145.5305663580644
17.0,17.0,145.11007616824915
17.0,17.0,144.63758379686294
17.0,17.0,144.24808849219335
17.0,17.0,144.10809697680799
17.0,17.0,143.90798053119482
17.0,17.0,143.3322942888237
17.0,17.0,143.20231943970364
17.0,17.0,142.99188456521918
17.0,17.0,142.9478446524454
17.0,17.0,142.6624792786958
17.0,17.0,142.46893758088024
17.0,17.0,142.520150169747
17.0,17.0,142.22528106243564
17.0,17.0,141.97953128561636
17.0,17.0,142.11132241324785
17.0,17.0,141.81895272545472
17.0,17.0,141.53720421888207
17.0,17.0,141.73456793083972
17.0,17.0,141.5459048750711
17.0,17.0,141.37591212076435
17.0,17.0,141.5111494683265
17.0,17.0,141.526315397796
17.0,17.0,141.50451824040144
17.0,17.0,141.377190162566
17.0,17.0,141.19149847980393
17.0,17.0,141.2243698410734
17.0,17.0,140.9051934592754
17.0,17.0,141.0028322136826
17.0,17.0,141.1789815134479
17.0,17.0,140.95702567452227
17.0,17.0,141.21454484651449
17.0,17.0,141.05046860274135
17.0,17.0,140.98920832645442
17.0,17.0,141.01689533720375
17.0,17.0,140.82447851791298
17.0,17.0,140.72147465514632
17.0,17.0,140.829180954954
17.0,17.0,140.73745626997592
17.0,17.0,140.7610864649657
17.0,17.0,140.71295281417284
17.0,17.0,140.7074513064257
17.0,17.0,140.77708174869832
17.0,17.0,140.6642678818975
17.0,17.0,140.69892927772062
17.0,17.0,140.54463363409778
17.0,17.0,140.7004561326669
17.0,17.0,140.63727864866405
17.0,17.0,140.49039416851184
17.0,17.0,140.56820749142568
17.0,17.0,140.78121467370022
17.0,17.0,140.33240827060635
17.0,17.0,140.2922441258816
17.0,17.0,140.42471608614932
17.0,17.0,140.50498059878038
17.0,17.0,140.4064290266479
17.0,17.0,140.3020778396193
17.0,17.0,140.41897362298542
17.0,17.0,140.23472202666508
17.0,17.0,140.5163602888005
17.0,17.0,140.3202494192648
17.0,17.0,139.96296295684218
17.0,17.0,140.22193170316083
17.0,17.0,140.12036390491272
17.0,17.0,140.27185120763423
17.0,17.0,140.0972800105395
17.0,17.0,140.10823171915484
17.0,17.0,140.15765204244732
17.0,17.0,140.11859378121449
17.0,17.0,139.9005366271915
17.0,17.0,139.8874536597457
17.0,17.0,140.1794620552336
17.0,17.0,139.96963171366463
17.0,17.0,140.14963304718182
17.0,17.0,140.31806193145664
17.0,17.0,140.10101167371292
17.0,17.0,140.21211463098095
17.0,17.0,140.00026126090026
17.0,17.0,140.11377558283777
17.0,17.0,140.05964840568183
17.0,17.0,139.88791416792304
17.0,17.0,140.1782617185358
17.0,17.0,139.94229112478976
17.0,17.0,139.57650060976607
17.0,17.0,140.06704323255568
17.0,17.0,140.00284312048146
17.0,17.0,140.36652416999866
17.0,17.0,139.9596439028574
17.0,17.0,140.01173939834314
17.0,17.0,139.94859838587797
17.0,17.0,139.67511865812384
17.0,17.0,139.74818818303535
17.0,17.0,140.26999708300158
17.0,17.0,139.70410961796256
17.0,17.0,139.69815474992834
17.0,17.0,139.98155963453755
17.0,17.0,140.0612579126267
17.0,17.0,139.70594388969073
17.0,17.0,139.8352420760277
17.0,17.0,139.8267396869614
17.0,17.0,139.85117623661407
17.0,17.0,139.7181399387084
17.0,17.0,139.76581243949664
17.0,17.0,139.77809207844558
17.0,17.0,139.84471028992004
17.0,17.0,139.8077657314841
17.0,17.0,139.81764525237503
17.0,17.0,139.6594280148128
17.0,17.0,139.47315294495706
17.0,17.0,139.67080601878595
17.0,17.0,139.70133978498134
17.0,17.0,139.53169768276783
17.0,17.0,139.63385892932445
17.0,17.0,139.40099613283337
17.0,17.0,139.59813565229126
17.0,17.0,139.38956292755918
17.0,17.0,139.56824672731753
17.0,17.0,139.60568307227066
17.0,17.0,139.5849156606796
17.0,17.0,139.43522789396891
17.0,17.0,139.66986217835526
17.0,17.0,139.3874001415243
17.0,17.0,139.58674807049266
17.0,17.0,139.6578105723482
17.0,17.0,139.56780279371537
17.0,17.0,139.5335734436182
17.0,17.0,139.7647618116931
17.0,17.0,139.34048806337444
17.0,17.0,139.2251661393402
17.0,17.0,139.488129807443
17.0,17.0,139.40269135083125
17.0,17.0,139.4246764363549
17.0,17.0,139.29049168835928
17.0,17.0,139.26471767059206
17.0,17.0,139.42138431964386
17.0,17.0,139.47641296752806
17.0,17.0,139.40639386828454
17.0,17.0,139.35038765754027
17.0,17.0,139.3974933904864
17.0,17.0,139.39543151963153
17.0,17.0,139.10074828086633
17.0,17.0,139.12071832751624
