Max_Weight,Min_Weight,Mean_Fitness
17.0,17.0,2695.5605316130795
17.0,17.0,2488.454232869608
17.0,17.0,2248.7954902182482
17.0,17.0,2063.275268955743
17.0,17.0,1946.4542669679818
17.0,17.0,1876.6358977361756
17.0,17.0,1817.4419071507516
17.0,17.0,1756.3407273619432
17.0,17.0,1734.639447021303
17.0,17.0,1702.7960273091924
17.0,17.0,1676.6273869690988
17.0,17.0,1639.9232560553762
17.0,17.0,1615.50422739147
17.0,17.0,1589.8782050592713
17.0,17.0,1572.306484137948
17.0,17.0,1567.48248659586
17.0,17.0,1548.7514997387366
17.0,17.0,1542.4365656843627
17.0,17.0,1528.1540886329294
17.0,17.0,1519.5941790885388
17.0,17.0,1504.3833193161572
17.0,17.0,1490.1022666779184
17.0,17.0,1483.7967599550404
17.0,17.0,1470.887561552481
17.0,17.0,1462.51656137682
17.0,17.0,1461.4482388086408
17.0,17.0,1444.6987498071423
17.0,17.0,1440.3811293025915
17.0,17.0,1431.40979783438
17.0,17.0,1423.7428178408095
17.0,17.0,1416.8116626243357
17.0,17.0,1417.5064391163228
17.0,17.0,1407.8794336683723
17.0,17.0,1402.9986575780706
17.0,17.0,1402.8535791160866
17.0,17.0,1399.9942618708765
17.0,17.0,1392.3810198184185
17.0,17.0,1377.5237290404116
17.0,17.0,1380.2094683204837
17.0,17.0,1385.6888363332039
17.0,17.0,1372.4880843622377
17.0,17.0,1369.540427338022
17.0,17.0,1378.740824491989
17.0,17.0,1358.8849841022961
17.0,17.0,1365.1569942767176
17.0,17.0,1351.6442248108524
17.0,17.0,1345.0696241439637
17.0,17.0,1348.5378899989798
17.0,17.0,1342.5981978234759
17.0,17.0,1335.3210408750203
17.0,17.0,1328.3938044198405
17.0,17.0,1327.9118158434426
17.0,17.0,1328.7892869803793
17.0,17.0,1323.6021481229836
17.0,17.0,1319.9119583768895
17.0,17.0,1313.1381649173422
17.0,17.0,1313.9594652576018
17.0,17.0,1317.4890551064013
17.0,17.0,1303.8810731404533
17.0,17.0,1297.0528090985517
17.0,17.0,1298.0780518773313
17.0,17.0,1298.643916171261
17.0,17.0,1295.5010178076598
17.0,17.0,1297.5132685198687
17.0,17.0,1289.7640803271063
17.0,17.0,1290.5470841802353
17.0,17.0,1295.2117832180102
17.0,17.0,1282.812148675767
17.0,17.0,1284.9589759029186
17.0,17.0,1286.7017596860276
17.0,17.0,1283.8880345899906
17.0,17.0,1276.5956495281107
17.0,17.0,1279.2854206791515
17.0,17.0,1275.9195787813358
17.0,17.0,1277.1152351151998
17.0,17.0,1274.5823568088
17.0,17.0,1277.6110191357745
17.0,17.0,1270.346998273896
17.0,17.0,1269.2920334504345
17.0,17.0,1274.9366785642276
17.0,17.0,1267.2457671475406
17.0,17.0,1274.0168332834803
17.0,17.0,1267.916016024605
17.0,17.0,1265.766908203954
17.0,17.0,1271.450669658569
17.0,17.0,1271.8484795579666
17.0,17.0,1270.2964623223022
17.0,17.0,1268.520152313975
17.0,17.0,1264.971926199573
17.0,17.0,1266.3694102462125
17.0,17.0,1263.345514295328
17.0,17.0,1263.8588743217806
17.0,17.0,1259.9172263382766
17.0,17.0,1261.3515386908532
17.0,17.0,1263.6746793663103
17.0,17.0,1259.963333823665
17.0,17.0,1261.1316027450516
17.0,17.0,1263.2712243462695
17.0,17.0,1260.8492645380493
17.0,17.0,1261.3547518177527
17.0,17.0,1263.9721143008048
17.0,17.0,1254.3764763456077
17.0,17.0,1264.8373609849373
17.0,17.0,1253.3150141871272
17.0,17.0,1256.1226934565843
17.0,17.0,1255.0122376874629
17.0,17.0,1255.6598373937677
17.0,17.0,1257.868556496324
17.0,17.0,1255.364972269343
17.0,17.0,1254.4792946668522
17.0,17.0,1251.192700332011
17.0,17.0,1253.5716177625338
17.0,17.0,1252.6263251689663
17.0,17.0,1255.0956873962375
17.0,17.0,1259.0989734886086
17.0,17.0,1254.3249014722162
17.0,17.0,1246.788713838056
17.0,17.0,1257.0487023970259
17.0,17.0,1252.8588501498082
17.0,17.0,1245.1296018963699
17.0,17.0,1254.895804481427
17.0,17.0,1249.9982624635259
17.0,17.0,1249.842603906744
17.0,17.0,1251.4860421487208
17.0,17.0,1251.506786451253
17.0,17.0,1243.2751371286054
17.0,17.0,1249.89028749693
17.0,17.0,1247.4430004762173
17.0,17.0,1247.8159259510776
17.0,17.0,1252.274274629373
17.0,17.0,1248.7891038119888
17.0,17.0,1253.7429338785937
17.0,17.0,1248.2201625105754
17.0,17.0,1252.1445305027316
17.0,17.0,1244.6876399721957
17.0,17.0,1247.0651858767346
17.0,17.0,1249.7170366441928
17.0,17.0,1246.3635861496832
17.0,17.0,1250.5898296118844
17.0,17.0,1244.3916809007878
17.0,17.0,1244.3862460583998
17.0,17.0,1243.645140526763
17.0,17.0,1245.3236797186416
17.0,17.0,1245.1241357817437
17.0,17.0,1244.483348976845
17.0,17.0,1246.6581800163199
17.0,17.0,1244.3752889947868
17.0,17.0,1244.995951072289
17.0,17.0,1242.1943756321352
17.0,17.0,1246.1118358962913
17.0,17.0,1242.1589993425664
17.0,17.0,1243.1011246515225
17.0,17.0,1241.3817108211715
17.0,17.0,1244.6650019536442
17.0,17.0,1241.5852264874277
17.0,17.0,1249.2563885885831
17.0,17.0,1242.0999542667369
17.0,17.0,1241.1619029653002
17.0,17.0,1245.5228966962866
17.0,17.0,1248.0409760794628
17.0,17.0,1244.3135950138605
17.0,17.0,1249.723920506871
17.0,17.0,1241.378097791664
17.0,17.0,1242.5674292101098
17.0,17.0,1245.63442756596
17.0,17.0,1245.2409260624781
17.0,17.0,1244.1961326295732
17.0,17.0,1240.9243051675967
17.0,17.0,1241.6342441355291
17.0,17.0,1242.2914229738246
17.0,17.0,1239.3653568540503
17.0,17.0,1242.756751663626
17.0,17.0,1242.7714377921243
17.0,17.0,1239.9756988775632
17.0,17.0,1237.8451613332504
17.0,17.0,1236.8379215694233
17.0,17.0,1235.0047342708024
17.0,17.0,1235.5764054579265
17.0,17.0,1239.8753667220626
17.0,17.0,1240.6346199639745
17.0,17.0,1239.3962338665444
17.0,17.0,1241.2419009335204
17.0,17.0,1242.586057418469
17.0,17.0,1238.7896850371974
17.0,17.0,1238.6832685440863
17.0,17.0,1240.7108118656051
17.0,17.0,1244.5020452051497
17.0,17.0,1240.572948072808
17.0,17.0,1241.560105387331
17.0,17.0,1241.016808006401
17.0,17.0,1242.1443363037245
17.0,17.0,1237.1408019881712
17.0,17.0,1238.6127655949954
17.0,17.0,1235.3698389619137
17.0,17.0,1237.627610626474
17.0,17.0,1235.1086655872589
