Max_Weight,Min_Weight,Mean_Fitness
17.0,17.0,139.06782561193103
17.0,17.0,138.709849815904
17.0,17.0,138.58221378163114
17.0,17.0,138.57923063854173
17.0,17.0,138.3886937262375
17.0,17.0,138.49700862065666
17.0,17.0,138.48574396740835
17.0,17.0,138.46664068154396
17.0,17.0,138.39789016855477
17.0,17.0,138.07357792545244
17.0,17.0,138.23244415405946
17.0,17.0,138.2439383386348
17.0,17.0,138.12850776288437
17.0,17.0,138.29794996429658
17.0,17.0,138.0429069427669
17.0,17.0,138.108898903729
17.0,17.0,138.26131764722246
17.0,17.0,138.00608614362477
17.0,17.0,137.9983100346575
17.0,17.0,138.03513354677267
17.0,17.0,137.75098678329618
17.0,17.0,138.17987984420034
17.0,17.0,137.8732196532739
17.0,17.0,137.8616391377341
17.0,17.0,137.9053045111324
17.0,17.0,137.90470456987123
17.0,17.0,137.71778103255534
17.0,17.0,137.5799655594887
17.0,17.0,137.61667363108288
17.0,17.0,137.69021792942078
17.0,17.0,137.51103632342847
17.0,17.0,137.47625033354802
17.0,17.0,137.4493266390911
17.0,17.0,137.09900887853883
17.0,17.0,137.17955003657684
17.0,17.0,137.34765468217907
17.0,17.0,137.45448867772274
17.0,17.0,136.88232769544905
17.0,17.0,136.84780011192404
17.0,17.0,136.92154452538747
17.0,17.0,136.53570672668505
17.0,17.0,136.80223995642797
17.0,17.0,136.85733805445767
17.0,17.0,136.64943307068418
17.0,17.0,136.49714062902265
17.0,17.0,136.438783256315
17.0,17.0,136.26903229485222
17.0,17.0,136.49435229045488
17.0,17.0,136.3523179260161
17.0,17.0,136.34861906081568
17.0,17.0,136.4656962747894
17.0,17.0,136.43429078641412
17.0,17.0,136.35515857522768
17.0,17.0,136.32855683186952
17.0,17.0,136.04600904170763
17.0,17.0,136.27769715500418
17.0,17.0,135.8826644090278
17.0,17.0,135.7347100142288
17.0,17.0,135.9320861791148
17.0,17.0,135.86193396391602
17.0,17.0,135.86260489904632
17.0,17.0,135.71869122003233
17.0,17.0,135.91607620476344
17.0,17.0,135.97398291850382
17.0,17.0,135.7334896734645
17.0,17.0,136.03772740989203
17.0,17.0,135.78593285350843
17.0,17.0,135.71492857896
17.0,17.0,135.6102732850997
17.0,17.0,135.7865560218851
17.0,17.0,135.22219875559207
17.0,17.0,135.24018367003566
17.0,17.0,135.29924177496628
17.0,17.0,135.27218102043307
17.0,17.0,135.43557851675277
17.0,17.0,135.16167790974853
17.0,17.0,135.2042968491257
17.0,17.0,135.3010673479751
17.0,17.0,135.237065536586
17.0,17.0,134.97401031584133
17.0,17.0,135.16309181927977
17.0,17.0,134.7512815643274
17.0,17.0,135.36373916992645
