Max_Weight,Min_Weight,Mean_Fitness
17.0,17.0,2606.799355204369
17.0,17.0,2598.1335519474665
17.0,17.0,2578.467996715123
17.0,17.0,2578.566897702315
17.0,17.0,2569.989624062237
17.0,17.0,2564.520288035567
17.0,17.0,2558.011203440556
17.0,17.0,2542.042448628464
17.0,17.0,2544.7619012037617
17.0,17.0,2522.6301198469896
17.0,17.0,2524.46360412379
17.0,17.0,2495.7381882623454
17.0,17.0,2483.358149307916
17.0,17.0,2463.7618910293895
17.0,17.0,2449.376485133913
17.0,17.0,2431.3086435786327
17.0,17.0,2391.6950951682215
17.0,17.0,2379.8313011472783
17.0,17.0,2339.835297691103
17.0,17.0,2300.1161354298492
17.0,17.0,2241.5439722014817
17.0,17.0,2199.6838962728925
17.0,17.0,2137.8298535291847
17.0,17.0,2100.775159230944
17.0,17.0,2049.799555089582
17.0,17.0,2014.442779114774
17.0,17.0,1979.197293222722
17.0,17.0,1957.4718303422706
17.0,17.0,1917.1565872651151
17.0,17.0,1903.2673167397477
17.0,17.0,1883.391991630738
17.0,17.0,1863.1692617926167
17.0,17.0,1848.4686399511672
17.0,17.0,1834.8145138974212
17.0,17.0,1825.4202526591976
17.0,17.0,1815.0708189725874
17.0,17.0,1806.6759354606318
17.0,17.0,1770.8121652972704
17.0,17.0,1771.033089617581
17.0,17.0,1773.2465585487325
17.0,17.0,1759.3810777596223
17.0,17.0,1759.6726984125112
17.0,17.0,1768.569260125664
17.0,17.0,1749.5832637886876
17.0,17.0,1755.7162120153941
17.0,17.0,1738.7492161464645
17.0,17.0,1732.3041065770522
17.0,17.0,1730.0141944565398
17.0,17.0,1719.8732154237211
17.0,17.0,1707.962224315307
17.0,17.0,1697.668904543759
17.0,17.0,1696.678574716026
17.0,17.0,1694.9698514028016
17.0,17.0,1690.4019459088518
17.0,17.0,1685.3482332243648
17.0,17.0,1671.7375850339645
17.0,17.0,1674.7268652114915
17.0,17.0,1678.0418591208577
17.0,17.0,1657.9315093451576
17.0,17.0,1651.953542379047
17.0,17.0,1647.3905257868153
17.0,17.0,1647.0142016136165
17.0,17.0,1641.5876122662944
17.0,17.0,1640.6499978940258
17.0,17.0,1625.5519195271886
17.0,17.0,1618.5965937163255
17.0,17.0,1623.5673390886373
17.0,17.0,1604.2984611059953
17.0,17.0,1603.567353852627
17.0,17.0,1605.747680202364
17.0,17.0,1600.9087826018597
17.0,17.0,1584.6121833635823
17.0,17.0,1591.5366542517156
17.0,17.0,1577.6829609443712
17.0,17.0,1575.3096786896185
17.0,17.0,1569.8245042290273
17.0,17.0,1569.1264080703274
17.0,17.0,1555.55362167848
17.0,17.0,1549.97194096359
17.0,17.0,1551.5750858292595
17.0,17.0,1541.722527727184
17.0,17.0,1545.589241376025
17.0,17.0,1535.541115737526
17.0,17.0,1534.7451675995994
17.0,17.0,1537.1769123590157
17.0,17.0,1535.9840703338248
17.0,17.0,1527.2846946275881
17.0,17.0,1522.041213951927
17.0,17.0,1514.1517283304693
17.0,17.0,1507.8631099618678
17.0,17.0,1501.551733360644
17.0,17.0,1499.9541253266989
17.0,17.0,1489.736277636947
17.0,17.0,1492.0331261123479
17.0,17.0,1494.5502469524313
17.0,17.0,1488.3131694613867
17.0,17.0,1485.5335895768274
17.0,17.0,1487.1284309366574
17.0,17.0,1478.5490118794676
17.0,17.0,1474.3442142700626
17.0,17.0,1474.849604769067
17.0,17.0,1460.5099359910741
17.0,17.0,1472.3838484016278
17.0,17.0,1454.0008422489357
17.0,17.0,1457.3131581042114
17.0,17.0,1450.1019012543711
17.0,17.0,1446.6672669771183
17.0,17.0,1445.592031247026
17.0,17.0,1437.3686517304536
17.0,17.0,1430.0360058935933
17.0,17.0,1427.2267769797666
17.0,17.0,1429.7757596399317
17.0,17.0,1426.690020899626
17.0,17.0,1426.0009507429297
17.0,17.0,1429.4019599334063
17.0,17.0,1419.1901434769522
17.0,17.0,1409.5459207658757
17.0,17.0,1414.414855313905
17.0,17.0,1408.8611068158389
17.0,17.0,1396.6820104526207
17.0,17.0,1409.143903371905
17.0,17.0,1403.5555758074258
17.0,17.0,1404.3626734799682
17.0,17.0,1400.675953529798
17.0,17.0,1400.1067220595028
17.0,17.0,1389.0274319813304
17.0,17.0,1394.920347550756
17.0,17.0,1391.6689529938158
17.0,17.0,1387.8615322220153
17.0,17.0,1392.7683060676745
17.0,17.0,1386.0120445873845
17.0,17.0,1393.9522720581974
17.0,17.0,1384.2089899373548
17.0,17.0,1389.585780793242
17.0,17.0,1379.0492461598005
17.0,17.0,1381.3520586358209
17.0,17.0,1383.0190804883607
17.0,17.0,1375.9035873380376
17.0,17.0,1378.6244926268748
17.0,17.0,1372.6967942177143
17.0,17.0,1368.5292111296164
17.0,17.0,1366.176052925289
17.0,17.0,1364.7884557114546
17.0,17.0,1364.2804806759705
17.0,17.0,1360.272376385422
17.0,17.0,1364.3507798446617
17.0,17.0,1360.75155240724
17.0,17.0,1356.27324125893
17.0,17.0,1352.9742365854775
17.0,17.0,1356.4986590001986
17.0,17.0,1348.9265323345928
17.0,17.0,1345.6553313072552
17.0,17.0,1342.827535269421
17.0,17.0,1350.233234304274
17.0,17.0,1345.4836754869552
17.0,17.0,1351.6745666145607
17.0,17.0,1340.9091275243265
17.0,17.0,1337.3845510979975
17.0,17.0,1342.0238598379278
17.0,17.0,1345.0408168491774
17.0,17.0,1341.3030868286423
17.0,17.0,1342.8885990685185
17.0,17.0,1334.078452236839
17.0,17.0,1332.7493119814887
17.0,17.0,1334.830844869097
17.0,17.0,1332.3078730891418
17.0,17.0,1332.233844325236
17.0,17.0,1326.5390596605312
17.0,17.0,1325.6741712777434
17.0,17.0,1325.4251007082607
17.0,17.0,1322.43441421923
17.0,17.0,1322.4801635914116
17.0,17.0,1319.7897473062794
17.0,17.0,1318.8106422817832
17.0,17.0,1314.7222359751195
17.0,17.0,1313.7746564018096
17.0,17.0,1305.6155899845553
17.0,17.0,1308.7659560222419
17.0,17.0,1310.017651830184
17.0,17.0,1310.2217608622543
17.0,17.0,1308.1759392772644
17.0,17.0,1309.5530894769756
17.0,17.0,1309.2108207127803
17.0,17.0,1306.6562327258985
17.0,17.0,1304.4262207988547
17.0,17.0,1307.815086306436
17.0,17.0,1308.2161220446555
17.0,17.0,1302.799899278567
17.0,17.0,1306.9170787275796
17.0,17.0,1302.6448686175647
17.0,17.0,1303.6712012266503
17.0,17.0,1299.922595695384
17.0,17.0,1297.7730871083374
17.0,17.0,1295.5411900666447
17.0,17.0,1296.3203106193007
17.0,17.0,1291.3380007840335
17.0,17.0,1300.5808135333737
17.0,17.0,1298.9965476951536
17.0,17.0,1298.111964968275
17.0,17.0,1289.2237607912411
17.0,17.0,1292.7144773495152
